Model,Accuracy,Precision,Recall,F1,Train_F1,F1_Gap,CV_F1_Mean,CV_F1_Std,Selection_Score
RandomForest,0.979,0.6710526315789473,0.75,0.7083333333333334,0.9078726968174204,0.19953936348408707,0.6795387997338441,0.043069538622284194,0.6296539588628224
GradientBoosting,0.977,0.775,0.45588235294117646,0.5740740740740741,0.6666666666666666,0.09259259259259256,0.5669436459225872,0.03672653224210485,0.543795497774439
DecisionTree,0.955,0.4166666666666667,0.8088235294117647,0.55,0.6852085967130215,0.13520859671302143,0.5522155330247934,0.0702830367159411,0.5184133838465381
LogisticRegression,0.8205,0.13895781637717122,0.8235294117647058,0.23779193205944799,0.23779193205944799,0.0,0.23570985276294257,0.016704341978956063,0.23570985276294257
